# Mapeo FW NDS32 (633 funcs) -> modulo .c + lineas ASSERT

========== (sin ASSERT) (441 funcs) ==========
  0xf002f2d8  FUN_ram_f002f2d8        
  0xf002f4ac  FUN_ram_f002f4ac        
  0xf002fcb8  FUN_ram_f002fcb8        
  0xf002fd54  FUN_ram_f002fd54        
  0xf002fe3c  FUN_ram_f002fe3c        
  0xf002fff8  FUN_ram_f002fff8        
  0xf003008c  FUN_ram_f003008c        
  0xf00301dc  FUN_ram_f00301dc        
  0xf0030278  FUN_ram_f0030278        
  0xf00303b4  FUN_ram_f00303b4        
  0xf003041c  FUN_ram_f003041c        
  0xf003046c  FUN_ram_f003046c        
  0xf0030510  FUN_ram_f0030510        
  0xf003065c  FUN_ram_f003065c        
  0xf0030700  FUN_ram_f0030700        
  0xf0030784  FUN_ram_f0030784        
  0xf003083c  FUN_ram_f003083c        
  0xf0030a30  FUN_ram_f0030a30        
  0xf0030a6c  FUN_ram_f0030a6c        
  0xf0030aa8  FUN_ram_f0030aa8        
  0xf0030b00  FUN_ram_f0030b00        
  0xf0030b14  FUN_ram_f0030b14        
  0xf0030b28  FUN_ram_f0030b28        
  0xf0030b3c  FUN_ram_f0030b3c        
  0xf0030c40  FUN_ram_f0030c40        
  0xf00314b4  FUN_ram_f00314b4        
  0xf0031cdc  FUN_ram_f0031cdc        
  0xf0031d90  FUN_ram_f0031d90        
  0xf0031dd4  FUN_ram_f0031dd4        
  0xf0031e28  FUN_ram_f0031e28        
  0xf0031e40  FUN_ram_f0031e40        
  0xf0031e70  FUN_ram_f0031e70        
  0xf0031f08  FUN_ram_f0031f08        
  0xf0031f1c  FUN_ram_f0031f1c        
  0xf0031f74  FUN_ram_f0031f74        
  0xf0031fc0  FUN_ram_f0031fc0        
  0xf00321f0  FUN_ram_f00321f0        
  0xf0032ffc  FUN_ram_f0032ffc        
  0xf003359c  FUN_ram_f003359c        
  0xf00339c0  FUN_ram_f00339c0        
  0xf0033a2c  FUN_ram_f0033a2c        
  0xf0033d24  FUN_ram_f0033d24        
  0xf0033de8  FUN_ram_f0033de8        
  0xf0033e2c  FUN_ram_f0033e2c        
  0xf0033f8c  FUN_ram_f0033f8c        
  0xf0033fa8  FUN_ram_f0033fa8        
  0xf0033fc4  FUN_ram_f0033fc4        
  0xf0034034  FUN_ram_f0034034        
  0xf0034044  FUN_ram_f0034044        
  0xf003432c  FUN_ram_f003432c        
  0xf003436c  FUN_ram_f003436c        
  0xf00343a8  FUN_ram_f00343a8        
  0xf00343c0  FUN_ram_f00343c0        
  0xf00343fc  FUN_ram_f00343fc        
  0xf0034610  FUN_ram_f0034610        
  0xf0034648  FUN_ram_f0034648        
  0xf0034658  FUN_ram_f0034658        
  0xf00347c4  FUN_ram_f00347c4        
  0xf00347e8  FUN_ram_f00347e8        
  0xf00348a0  FUN_ram_f00348a0        
  0xf0034a68  FUN_ram_f0034a68        
  0xf0034a98  FUN_ram_f0034a98        
  0xf0034ad8  FUN_ram_f0034ad8        
  0xf0034d38  FUN_ram_f0034d38        
  0xf0034dac  FUN_ram_f0034dac        
  0xf0034f64  FUN_ram_f0034f64        
  0xf00351f4  FUN_ram_f00351f4        
  0xf003570c  FUN_ram_f003570c        
  0xf0037050  FUN_ram_f0037050        
  0xf00370b8  FUN_ram_f00370b8        
  0xf00372b4  FUN_ram_f00372b4        
  0xf0037300  FUN_ram_f0037300        
  0xf003734c  FUN_ram_f003734c        
  0xf003740c  FUN_ram_f003740c        
  0xf00377e0  FUN_ram_f00377e0        
  0xf0037844  FUN_ram_f0037844        
  0xf00386fc  FUN_ram_f00386fc        
  0xf00387e0  FUN_ram_f00387e0        
  0xf0038a10  FUN_ram_f0038a10        
  0xf0038d30  FUN_ram_f0038d30        
  0xf0038d88  FUN_ram_f0038d88        
  0xf0038d98  FUN_ram_f0038d98        
  0xf0038dfc  FUN_ram_f0038dfc        
  0xf0038e4c  FUN_ram_f0038e4c        
  0xf0038f00  FUN_ram_f0038f00        
  0xf0038f3c  FUN_ram_f0038f3c        
  0xf0039018  FUN_ram_f0039018        
  0xf0039060  FUN_ram_f0039060        
  0xf0039800  FUN_ram_f0039800        
  0xf0039884  FUN_ram_f0039884        
  0xf0039914  FUN_ram_f0039914        
  0xf003aadc  FUN_ram_f003aadc        
  0xf003aaf8  FUN_ram_f003aaf8        
  0xf003ab1c  FUN_ram_f003ab1c        
  0xf003ab40  FUN_ram_f003ab40        
  0xf003aba0  FUN_ram_f003aba0        
  0xf003ad98  FUN_ram_f003ad98        
  0xf003ae04  FUN_ram_f003ae04        
  0xf003ae2c  FUN_ram_f003ae2c        
  0xf003b4a0  FUN_ram_f003b4a0        
  0xf003b600  FUN_ram_f003b600        
  0xf003b6c8  FUN_ram_f003b6c8        
  0xf003b76c  FUN_ram_f003b76c        
  0xf003b804  FUN_ram_f003b804        
  0xf003b828  FUN_ram_f003b828        
  0xf003b84c  FUN_ram_f003b84c        
  0xf003bb88  FUN_ram_f003bb88        
  0xf003bbc8  FUN_ram_f003bbc8        
  0xf003bc90  FUN_ram_f003bc90        
  0xf003bcb0  FUN_ram_f003bcb0        
  0xf003bcf0  FUN_ram_f003bcf0        
  0xf003bdb4  FUN_ram_f003bdb4        
  0xf003c280  FUN_ram_f003c280        
  0xf003c308  FUN_ram_f003c308        
  0xf003c334  FUN_ram_f003c334        
  0xf003c3e8  FUN_ram_f003c3e8        
  0xf003c4f8  FUN_ram_f003c4f8        
  0xf003c528  FUN_ram_f003c528        
  0xf003c5a4  FUN_ram_f003c5a4        
  0xf003c618  FUN_ram_f003c618        
  0xf003c868  FUN_ram_f003c868        
  0xf003c9b4  FUN_ram_f003c9b4        
  0xf003c9f4  FUN_ram_f003c9f4        
  0xf003c9f8  FUN_ram_f003c9f8        
  0xf003cb04  FUN_ram_f003cb04        
  0xf003cb60  FUN_ram_f003cb60        
  0xf003cbc8  FUN_ram_f003cbc8        
  0xf003cc84  FUN_ram_f003cc84        
  0xf003ccc4  FUN_ram_f003ccc4        
  0xf003cd78  FUN_ram_f003cd78        
  0xf003cdb0  FUN_ram_f003cdb0        
  0xf003ce08  FUN_ram_f003ce08        
  0xf003cf78  FUN_ram_f003cf78        
  0xf003d034  FUN_ram_f003d034        
  0xf003d1b4  FUN_ram_f003d1b4        
  0xf003d1e8  FUN_ram_f003d1e8        
  0xf003d21c  FUN_ram_f003d21c        
  0xf003d388  FUN_ram_f003d388        
  0xf003d488  FUN_ram_f003d488        
  0xf003dab8  FUN_ram_f003dab8        
  0xf003dbc8  FUN_ram_f003dbc8        
  0xf003dc5c  FUN_ram_f003dc5c        
  0xf003dff8  FUN_ram_f003dff8        
  0xf003e03c  FUN_ram_f003e03c        
  0xf003e054  FUN_ram_f003e054        
  0xf003e080  FUN_ram_f003e080        
  0xf003e0d8  FUN_ram_f003e0d8        
  0xf003e540  FUN_ram_f003e540        
  0xf003e5c8  FUN_ram_f003e5c8        
  0xf003e5f8  FUN_ram_f003e5f8        
  0xf003e5fc  FUN_ram_f003e5fc        
